pheno
c_n_percent_ratio
n_s_percent_ratio
percent_carbon
percent_nitrogen
percent_sulfur
s_n_percent_ratio
LA_c_n_percent_ratio
MS_c_n_percent_ratio
SAN_c_n_percent_ratio
SC_c_n_percent_ratio
LA_n_s_percent_ratio
MS_n_s_percent_ratio
SAN_n_s_percent_ratio
SC_n_s_percent_ratio
LA_percent_carbon
MS_percent_carbon
SAN_percent_carbon
SC_percent_carbon
LA_percent_nitrogen
MS_percent_nitrogen
SAN_percent_nitrogen
SC_percent_nitrogen
LA_percent_sulfur
MS_percent_sulfur
SAN_percent_sulfur
SC_percent_sulfur
LA_s_n_percent_ratio
MS_s_n_percent_ratio
SAN_s_n_percent_ratio
SC_s_n_percent_ratio
